ID,RA,Dec,period
b313_304_24416,261.30473438,-37.88281753,515.463918
b313_304_46923,261.37899198,-37.94965662,952.380952
b313_306_58224,261.03933545,-37.35366313,0.201254
b313_306_42669,261.00254784,-37.32458747,1.342246
b313_306_60693,261.04442597,-37.35926424,0.79437
b313_306_27476,260.93272762,-37.33085981,0.303059
b313_306_13571,260.93312706,-37.25853844,0.20364
b313_306_50313,261.0574913,-37.29650639,0.266104
b313_306_17505,260.86392545,-37.36038358,37.174721
b313_306_64672,261.09131467,-37.32258963,0.214919
b313_306_70398,261.06633418,-37.37866204,0.233597
b313_306_41920,260.97261676,-37.35581182,0.292428
b313_306_35763,261.02020139,-37.26973005,2.001441
b313_306_19180,260.92833871,-37.29380494,363.636364
b313_306_21189,260.85284204,-37.39211723,0.227712
b313_306_20984,260.97009005,-37.25421072,934.579439
b313_306_8103,260.85537987,-37.32067311,0.268175
b313_306_33247,260.98256905,-37.30157898,0.273441
b313_306_61982,260.96947204,-37.4524564,0.374243
b313_306_61891,261.07106802,-37.33334293,0.64549
b313_306_52040,260.97812603,-37.39696014,0.511104
b313_306_36974,260.93113359,-37.37990488,458.715596
b313_308_10533,261.4304067,-37.63409857,0.230893
b313_308_24873,261.45878736,-37.65948621,0.264056
b313_308_39991,261.48145835,-37.69461337,0.209961
b313_308_82157,261.55920826,-37.77821967,0.200238
b313_308_25931,261.42599257,-37.70198968,0.367546
b313_308_11328,261.44408807,-37.62124471,0.312964
b313_308_49594,261.58073608,-37.61714191,0.305107
b313_308_81046,261.63600905,-37.68354769,5.568549
b313_308_21391,261.4293316,-37.67989108,0.30437
b313_308_7280,261.46285624,-37.58275341,0.340148
b313_308_35788,261.51590891,-37.63680896,0.462391
b313_308_62882,261.53697067,-37.72333253,0.383381
b313_308_19864,261.40600135,-37.70084483,0.92262
b313_308_18434,261.45991549,-37.63188362,0.343687
b313_308_82877,261.66758221,-37.65423714,0.327254
b313_308_60175,261.58397315,-37.65679712,34.650035
b313_308_22269,261.43561449,-37.67611829,0.595802
b313_310_13754,261.1366699,-37.01014983,0.608372
b313_310_50046,261.25143531,-37.01945174,0.845509
b313_310_10433,261.10957323,-37.0280427,0.655721
b313_310_40033,261.18333237,-37.06006368,20.108586
b313_310_48029,261.26252115,-36.99814334,0.388668
b313_310_81814,261.3589367,-37.019001,90.991811
b313_310_81470,261.34083268,-37.03892648,0.501985
b313_310_41575,261.26812266,-36.96645832,0.668262
b313_310_48154,261.18399725,-37.09085237,0.669833
b313_310_3358,261.07852211,-37.03322165,0.804699
b313_310_59306,261.29421712,-37.00536207,272.479564
b313_310_44641,261.21094871,-37.04530754,6.436663
b313_310_66984,261.23552093,-37.10467689,3.716505
b313_310_48721,261.24426806,-37.02240902,0.248892
b313_310_3403,261.1690454,-36.92743226,165.289256
b313_310_4815,261.18466336,-36.91535711,0.20263
b313_310_75976,261.31312481,-37.04930711,119.474313
b313_310_21381,261.15238419,-37.02281166,22.045855
b313_310_35122,261.19788404,-37.02379704,0.735137
b313_310_50879,261.19429372,-37.08975648,0.438289
b313_310_30305,261.20754479,-36.99378607,0.64305
b313_310_55892,261.24120824,-37.05414536,0.244486
b313_310_23084,261.11552015,-37.07305083,1.009285
b313_310_30509,261.21212715,-36.98922341,1.808842
b313_310_58066,261.30510366,-36.98773439,0.335751
b313_312_72371,261.83014141,-37.40840541,0.462563
b313_312_26654,261.69202133,-37.38907343,0.657449
b313_312_27609,261.70384755,-37.37895154,0.247392
b313_312_61790,261.83514745,-37.35956045,0.317513
b313_312_8066,261.64115801,-37.37487579,2.238839
b313_312_49891,261.81327581,-37.33719954,0.282221
b313_312_45282,261.7281362,-37.42056659,0.700653
b313_312_4631,261.68625047,-37.30758585,0.212253
b313_312_28670,261.68358855,-37.40725453,0.382139
b313_312_40947,261.81048942,-37.30518231,0.357425
b313_312_65626,261.80958947,-37.40543974,0.221458
b313_312_42358,261.78711366,-37.33878663,1.82156
b313_312_26695,261.74774336,-37.32289298,0.592965
b313_312_21859,261.79647798,-37.24474442,1.170892
b313_312_73433,261.79520325,-37.45444245,0.207737
b313_312_71716,261.81733636,-37.42097071,0.337739
b313_312_50365,261.82774796,-37.32181346,0.519626
b313_312_56789,261.81474149,-37.36347107,1.004904
b313_312_65948,261.77689603,-37.44561913,0.2574
b313_312_36781,261.7024556,-37.41760481,0.361696
b313_314_64421,261.57438923,-36.69804277,0.310036
b313_314_11727,261.42557895,-36.65650487,0.48042
b313_314_43309,261.50546012,-36.69157524,0.818136
b313_314_11757,261.37155911,-36.72043446,1.660082
b313_314_10009,261.35806243,-36.7294356,0.436157
b313_314_9896,261.34932245,-36.7392218,4.728803
b313_314_67686,261.46834204,-36.83811972,0.307697
b313_314_72281,261.55188967,-36.75880183,0.215313
b313_314_62382,261.47633058,-36.80594737,0.596111
b313_314_61988,261.48999092,-36.78811163,0.892188
b313_314_21380,261.45714549,-36.65823681,15.126305
b313_314_56864,261.4745027,-36.78488548,0.246137
b313_314_64000,261.56633163,-36.70584372,2.77354
b313_314_4701,261.37727997,-36.68555469,0.847573
b313_314_57504,261.51754024,-36.73645152,0.666689
b313_314_82272,261.57323254,-36.7770962,0.421642
b313_314_2542,261.32390711,-36.73967825,1.086107
b313_316_47710,262.02285937,-37.09905362,2.584714
b313_316_32853,262.05496309,-36.99486687,0.231213
