ID_1,RA_1,Dec,period,ID_2,Type,Subtype,Ra_degrees,Dec_Degrees,RA_2,Decl,I,V,V_I,P_1,T0_1,A_1,A_2,Separation
b346_612_36351,264.60595536,-30.03732329,0.298979,OGLE-BLG-ECL-051532,ECL,C,264.6059583333333,-30.03733333333333,17:38:25.43,-30:02:14.4,18.479,22.118,3.639,0.5979533,7000.3772,0.261,0.243,0.037324567981805515
b346_614_67215,264.37005064,-29.41875758,1.261861,OGLE-BLG-ECL-047055,ECL,C,264.3700416666666,-29.41875,17:37:28.81,-29:25:07.5,18.214,21.741,3.527,2.5237339,7001.3425,0.667,0.637,0.039197067079218696
b346_614_84832,264.47564009,-29.3362468,12.336541,OGLE-BLG-T2CEP-0523,T2Cep,WVir,264.475625,-29.33625,17:37:54.15,-29:20:10.5,16.25,20.746,4.496,12.3386172,7012.3016,0.503,-99.99,0.048738482404879734
b346_614_69863,264.35242657,-29.45231066,0.526637,OGLE-BLG-ECL-046716,ECL,NC,264.3524166666666,-29.45230555555555,17:37:24.58,-29:27:08.3,15.829,-99.99,-99.99,1.053269,7000.6891,0.498,0.303,0.03607547413730856
b346_614_27919,264.35479296,-29.30311837,1.334597,OGLE-BLG-ECL-046761,ECL,NC,264.3547916666667,-29.303111111111107,17:37:25.15,-29:18:11.2,14.936,17.368,2.432,2.6692284,7001.0035,0.273,0.233,0.02644554588315081
b346_614_49586,264.31267879,-29.43535642,0.639648,OGLE-BLG-ECL-046076,ECL,NC,264.31266666666664,-29.43536111111111,17:37:15.04,-29:26:07.3,16.514,18.824,2.31,1.2793291,7000.8377,0.562,0.472,0.04159286784228609
b346_614_48645,264.32343719,-29.41752975,0.527741,OGLE-BLG-RRLYR-23088,RRLyr,RRab,264.32345833333335,-29.417527777777778,17:37:17.63,-29:25:03.1,18.416,21.805,3.389,0.5277406,7000.05333,0.522,-99.99,0.06668094749000152
b346_614_23168,264.28110293,-29.38702205,0.546033,OGLE-BLG-RRLYR-22958,RRLyr,RRab,264.2810833333333,-29.387027777777774,17:37:07.46,-29:23:13.3,18.216,21.384,3.168,0.5460364,7000.48317,0.812,-99.99,0.06483651716798651
b346_614_71449,264.37556058,-29.42631533,0.486081,OGLE-BLG-RRLYR-23252,RRLyr,RRab,264.37554166666666,-29.426305555555555,17:37:30.13,-29:25:34.7,18.199,21.635,3.436,0.4860899,7000.1306,0.487,-99.99,0.06895753845156873
b346_614_16998,264.31610031,-29.31759346,0.485847,OGLE-BLG-RRLYR-23065,RRLyr,RRab,264.31608333333327,-29.317583333333335,17:37:15.86,-29:19:03.3,18.746,22.297,3.551,0.4858456,7000.13946,0.764,-99.99,0.06456525694754744
